screen_id,reference,actual,capture_status,compare_status,mean_abs_diff,visual_status,notes
01,verification/ui_rebuild/reference_v4/01.png,verification/ui_rebuild/actual_v8/01.png,CAPTURED,COMPARED,12.55,CAPTURED_COMPARED_NOT_PIXEL_PASS,
02,verification/ui_rebuild/reference_v4/02.png,verification/ui_rebuild/actual_v8/02.png,CAPTURED,COMPARED,27.58,CAPTURED_COMPARED_NOT_PIXEL_PASS,
03,verification/ui_rebuild/reference_v4/03.png,verification/ui_rebuild/actual_v8/03.png,CAPTURED,COMPARED,25.88,CAPTURED_COMPARED_NOT_PIXEL_PASS,
04,verification/ui_rebuild/reference_v4/04.png,verification/ui_rebuild/actual_v8/04.png,CAPTURED,COMPARED,23.03,CAPTURED_COMPARED_NOT_PIXEL_PASS,
05,verification/ui_rebuild/reference_v4/05.png,verification/ui_rebuild/actual_v8/05.png,CAPTURED,COMPARED,28.21,CAPTURED_COMPARED_NOT_PIXEL_PASS,
06,verification/ui_rebuild/reference_v4/06.png,verification/ui_rebuild/actual_v8/06.png,CAPTURED,COMPARED,18.59,CAPTURED_COMPARED_NOT_PIXEL_PASS,
07,verification/ui_rebuild/reference_v4/07.png,verification/ui_rebuild/actual_v8/07.png,CAPTURED,COMPARED,19.65,CAPTURED_COMPARED_NOT_PIXEL_PASS,
08,verification/ui_rebuild/reference_v4/08.png,verification/ui_rebuild/actual_v8/08.png,CAPTURED,COMPARED,21.97,CAPTURED_COMPARED_NOT_PIXEL_PASS,
09,verification/ui_rebuild/reference_v4/09.png,verification/ui_rebuild/actual_v8/09.png,CAPTURED,COMPARED,31.25,CAPTURED_COMPARED_NOT_PIXEL_PASS,
10,verification/ui_rebuild/reference_v4/10.png,verification/ui_rebuild/actual_v8/10.png,CAPTURED,COMPARED,19.86,CAPTURED_COMPARED_NOT_PIXEL_PASS,
11,verification/ui_rebuild/reference_v4/11.png,verification/ui_rebuild/actual_v8/11.png,CAPTURED,COMPARED,27.29,CAPTURED_COMPARED_NOT_PIXEL_PASS,
12,verification/ui_rebuild/reference_v4/12.png,verification/ui_rebuild/actual_v8/12.png,CAPTURED,COMPARED,28.97,CAPTURED_COMPARED_NOT_PIXEL_PASS,
13,verification/ui_rebuild/reference_v4/13.png,verification/ui_rebuild/actual_v8/13.png,CAPTURED,COMPARED,20.35,CAPTURED_COMPARED_NOT_PIXEL_PASS,
14,verification/ui_rebuild/reference_v4/14.png,verification/ui_rebuild/actual_v8/14.png,CAPTURED,COMPARED,25.04,CAPTURED_COMPARED_NOT_PIXEL_PASS,
15,verification/ui_rebuild/reference_v4/15.png,verification/ui_rebuild/actual_v8/15.png,CAPTURED,COMPARED,35.26,CAPTURED_COMPARED_NOT_PIXEL_PASS,
16,verification/ui_rebuild/reference_v4/16.png,verification/ui_rebuild/actual_v8/16.png,CAPTURED,COMPARED,24.82,CAPTURED_COMPARED_NOT_PIXEL_PASS,
17,verification/ui_rebuild/reference_v4/17.png,verification/ui_rebuild/actual_v8/17.png,CAPTURED,COMPARED,20.76,CAPTURED_COMPARED_NOT_PIXEL_PASS,
18,verification/ui_rebuild/reference_v4/18.png,verification/ui_rebuild/actual_v8/18.png,CAPTURED,COMPARED,28.66,CAPTURED_COMPARED_NOT_PIXEL_PASS,
